X	Y
329	246
54	490
586	487
343	483
339	483
337	483
334	483
331	483
328	483
324	483
315	483
311	483
309	483
307	483
302	483
300	483
297	483
589	484
340	482
295	482
353	481
351	481
349	481
289	481
284	481
361	480
356	480
281	480
278	480
367	479
277	479
275	479
369	478
365	478
268	478
47	483
377	476
260	476
381	475
259	475
595	477
382	474
256	474
40	475
598	473
388	473
250	473
599	472
391	472
249	472
393	471
246	471
243	471
398	470
600	470
400	469
403	468
236	468
234	467
409	466
406	466
410	465
229	465
227	465
604	465
35	468
414	463
220	462
31	462
419	461
607	461
423	460
421	460
218	460
422	459
425	458
427	457
212	457
28	458
610	457
207	455
26	455
430	455
204	453
435	452
203	452
438	451
201	451
24	452
439	450
196	449
442	448
614	450
445	447
20	447
449	445
447	445
188	444
453	443
189	443
18	444
618	444
186	442
18	442
453	441
621	440
455	440
456	439
622	438
458	438
16	439
623	437
459	436
178	436
624	435
462	435
14	436
12	434
625	433
465	433
626	432
173	432
11	432
467	431
627	430
628	429
169	429
470	428
629	427
9	429
630	426
164	425
7	425
631	424
162	424
632	423
476	423
6	423
477	422
161	422
632	421
160	421
158	420
633	419
480	419
4	420
634	418
156	418
4	418
483	417
155	416
485	415
154	415
2	415
637	412
488	411
149	411
638	410
490	410
639	408
492	408
147	407
146	406
144	405
495	404
143	404
496	403
642	402
141	402
498	401
500	400
499	399
139	399
500	398
138	398
645	395
502	395
137	395
134	393
505	391
647	389
507	389
132	389
648	388
509	387
510	386
130	386
129	385
511	383
650	382
126	382
514	380
124	380
123	378
122	375
518	373
120	372
654	371
519	371
119	371
520	370
656	366
522	366
116	365
523	364
525	363
114	363
525	361
113	360
528	356
530	352
108	352
531	351
109	351
108	350
534	344
105	343
534	342
535	340
104	340
536	339
103	339
537	337
536	336
538	332
539	331
100	331
540	329
99	329
98	325
542	323
542	321
96	320
543	318
96	317
544	315
94	312
93	311
92	307
92	305
547	302
92	302
548	300
91	299
549	298
90	295
550	289
88	288
551	287
551	285
551	283
88	283
552	281
551	280
87	280
87	277
552	272
86	271
553	270
86	268
86	265
85	263
553	262
553	260
553	251
85	251
85	242
86	240
553	239
86	238
553	237
86	235
553	234
553	232
86	232
319	236
319	236
553	230
552	222
551	221
88	217
89	214
88	212
89	211
550	209
90	207
549	206
90	205
549	203
90	203
548	201
90	200
548	199
91	198
92	194
546	193
546	191
94	187
95	186
95	184
543	180
96	179
541	176
98	176
99	172
538	167
101	165
102	164
537	163
536	162
103	161
535	160
104	160
104	156
533	155
105	154
533	153
107	153
532	152
108	151
531	150
108	149
109	148
529	147
110	145
111	144
527	142
112	142
526	141
113	141
654	137
114	138
524	136
523	134
116	134
522	133
117	133
652	132
651	131
118	131
650	129
518	128
122	125
648	123
516	123
647	122
648	121
124	121
647	120
514	120
511	117
127	117
129	115
2	114
644	114
130	113
507	112
3	111
643	110
507	110
131	110
4	110
506	109
133	108
641	107
504	107
503	106
135	106
5	106
640	104
137	104
639	103
502	103
138	103
7	103
638	101
500	101
499	100
139	101
9	100
637	99
10	98
143	96
11	96
635	95
495	95
145	94
635	93
492	93
13	93
147	92
633	91
490	91
148	91
14	91
489	90
149	90
15	90
631	89
151	88
630	86
486	86
16	87
154	85
352	86
155	83
18	84
157	82
20	82
628	83
159	81
21	81
479	80
160	80
478	79
161	78
475	76
164	76
23	76
165	75
24	75
624	76
472	73
471	72
169	72
25	73
622	72
27	70
620	69
171	69
466	68
29	68
619	67
464	67
462	66
176	66
30	66
461	65
31	65
460	64
616	63
458	62
180	62
33	62
614	60
455	59
184	59
453	58
187	58
35	59
612	57
450	56
190	56
448	55
192	55
37	56
610	55
445	53
40	53
194	52
608	52
442	51
198	51
440	50
41	51
438	49
200	49
437	48
435	48
204	48
202	48
606	48
44	48
604	46
434	46
432	46
603	45
431	45
208	45
602	44
429	44
211	44
209	44
427	43
601	42
426	42
424	42
212	42
422	41
423	40
217	40
599	40
419	39
219	39
222	38
48	42
596	36
411	36
225	36
53	36
229	35
231	34
405	33
404	32
402	32
236	32
593	32
397	30
242	30
245	29
249	28
247	28
251	27
386	26
256	26
379	24
377	24
375	24
374	23
267	23
264	23
586	25
270	22
60	28
582	21
361	21
276	21
272	21
360	20
357	20
282	20
280	20
278	20
352	19
348	19
290	19
286	19
283	19
345	18
342	18
298	18
295	18
291	18
333	17
330	17
328	17
319	17
316	17
312	17
308	17
305	17
303	17
300	17
297	17
69	18
577	16
571	10
77	11
568	7
565	4
84	4
