X	Y
548	491
28	491
646	489
227	490
1	490
654	490
537	490
374	486
611	488
532	486
435	482
633	486
534	481
26	478
25	473
614	477
614	474
80	470
8	481
67	468
622	467
617	467
483	468
192	465
72	470
193	462
625	462
652	471
98	466
560	457
630	454
105	454
656	451
564	451
1	451
642	451
641	451
154	450
99	451
8	451
631	447
8	444
38	441
557	443
153	441
630	439
116	440
1	438
35	437
652	436
118	433
563	434
113	431
657	428
614	421
62	419
111	419
635	410
122	416
121	419
633	407
107	411
86	412
656	415
543	406
657	402
635	403
568	403
624	407
101	400
97	394
551	410
550	419
552	405
94	384
590	380
42	374
652	370
576	360
99	356
653	358
646	355
641	355
14	353
652	349
657	344
575	346
645	339
599	335
641	334
655	334
599	329
1	327
601	323
606	320
8	321
46	319
657	314
634	311
593	310
47	308
593	304
590	299
628	300
580	295
58	286
43	286
76	283
61	277
647	277
625	275
603	284
72	277
19	279
655	291
614	279
31	284
34	291
20	265
9	265
13	251
7	251
570	254
632	241
584	246
581	252
606	260
613	251
73	233
612	233
53	254
44	278
46	254
51	250
57	243
642	255
653	250
646	249
27	221
601	220
46	219
561	221
556	217
656	214
8	206
16	233
18	227
8	200
636	197
594	195
636	192
3	212
636	187
588	192
575	181
8	170
606	170
649	153
644	153
605	153
53	152
2	154
640	150
34	150
606	141
634	144
649	146
648	145
652	136
57	131
655	113
648	84
13	108
4	120
6	107
8	101
12	97
46	83
655	91
644	78
657	76
646	73
19	72
1	75
11	70
656	70
656	63
639	58
643	48
627	43
619	43
485	40
647	37
1	40
619	33
27	33
7	35
634	30
645	30
635	25
492	29
19	20
376	16
41	19
471	15
4	19
542	16
267	14
17	13
114	13
654	11
451	10
626	11
9	9
369	7
349	7
51	6
453	4
321	5
625	4
22	4
495	13
653	4
644	8
634	4
476	2
459	2
453	1
416	1
363	3
339	5
326	1
148	1
106	4
329	246
74	490
267	489
405	489
268	488
498	487
286	487
155	487
136	487
305	486
111	487
142	484
162	485
53	483
582	484
484	485
390	482
195	483
102	483
445	481
268	481
108	481
82	484
45	482
273	483
340	478
299	479
364	477
318	477
282	477
188	481
82	476
309	475
593	474
589	474
37	475
48	474
494	479
391	471
318	472
591	471
393	470
381	470
339	471
266	469
242	469
571	469
409	477
249	468
596	469
402	468
364	469
427	466
353	469
42	466
38	467
421	465
401	465
264	465
542	466
441	464
416	464
265	464
50	465
562	475
394	464
206	466
598	462
520	461
294	461
137	462
378	464
321	461
295	460
276	464
62	461
517	459
514	461
418	460
307	459
286	462
113	459
570	460
150	460
606	458
548	459
364	458
118	461
38	457
489	456
441	459
425	457
257	459
197	457
144	459
130	462
353	454
316	454
443	454
418	454
413	453
186	456
356	457
261	452
69	453
445	451
406	456
23	452
306	451
216	467
219	470
202	451
31	451
24	450
545	450
537	459
348	451
265	450
605	451
484	450
391	454
235	448
227	451
178	453
78	449
348	446
308	445
231	443
202	444
186	442
620	442
574	443
396	441
411	443
333	459
331	471
331	465
73	447
18	442
463	439
287	456
622	438
464	438
297	438
294	438
144	438
527	446
454	437
425	442
290	437
18	437
326	444
471	438
434	435
236	437
403	440
348	435
289	434
258	434
529	433
443	434
297	433
231	433
73	435
25	435
542	435
86	439
307	434
237	431
477	429
245	429
154	429
27	430
506	428
326	429
316	428
191	428
354	429
211	428
408	430
345	427
300	426
592	452
582	463
590	435
475	425
455	425
382	426
310	425
237	426
228	427
577	424
372	442
369	446
335	427
269	430
137	424
366	422
262	422
189	423
136	422
313	422
96	421
634	421
291	420
169	420
26	421
11	421
235	421
468	419
361	420
196	422
157	418
497	422
161	417
146	424
147	420
99	417
582	419
454	417
423	424
389	419
365	416
264	416
230	417
507	415
490	413
344	413
288	421
254	418
276	413
245	413
179	420
474	412
495	411
452	409
294	411
266	412
515	408
273	408
187	412
235	408
47	411
302	407
257	408
125	406
297	404
284	404
375	409
332	403
132	405
642	403
474	402
354	402
203	403
141	402
380	404
341	403
239	402
595	406
414	407
363	407
327	412
334	416
143	400
507	436
520	443
499	445
504	440
511	442
483	438
498	437
508	404
26	414
641	398
399	412
377	398
348	404
291	402
480	399
463	406
256	398
142	397
115	398
368	396
359	400
19	396
465	395
363	395
334	396
312	396
174	404
169	396
503	397
38	395
629	394
610	394
319	396
278	400
252	395
23	395
641	393
491	392
469	393
190	402
163	394
396	390
170	390
637	389
406	398
362	390
354	389
235	393
156	389
477	390
242	390
75	393
335	388
152	396
67	387
22	388
357	386
270	388
163	386
121	393
125	392
633	385
625	388
474	386
390	385
601	388
536	388
444	385
432	402
376	387
250	385
229	385
453	389
297	387
213	412
216	434
124	382
490	385
166	381
462	380
143	381
82	381
30	388
148	380
84	379
435	385
255	379
200	384
85	378
72	380
501	377
495	378
327	379
229	379
178	379
114	379
635	378
485	378
444	377
364	379
250	377
196	379
180	383
136	378
263	389
237	379
233	374
232	373
174	373
165	377
131	373
525	371
113	372
241	371
221	371
187	372
160	371
141	372
494	369
483	369
324	372
598	368
473	374
429	371
371	375
309	379
267	371
364	366
214	370
368	365
354	374
517	367
322	365
226	364
221	365
140	365
517	363
462	369
409	374
499	364
290	364
467	361
358	364
238	364
127	364
465	360
435	361
277	379
283	387
278	363
261	367
243	363
167	363
145	361
526	379
521	391
523	381
489	359
443	359
181	363
192	362
22	358
413	358
172	359
531	361
475	357
163	357
443	355
467	354
616	356
603	363
169	354
140	356
538	354
513	353
499	355
309	359
209	361
203	365
198	356
31	355
311	352
278	351
624	362
244	354
152	362
230	358
185	350
134	349
86	349
64	349
169	348
618	347
541	347
530	348
357	350
257	347
216	347
210	347
146	347
76	348
422	357
226	346
174	347
160	347
389	345
434	351
349	345
292	352
282	346
89	345
305	347
249	347
235	344
123	350
69	345
496	343
468	350
287	342
102	342
382	341
107	342
542	341
514	342
225	341
523	343
498	339
243	341
84	340
537	339
393	339
375	340
318	338
253	339
165	339
133	339
110	343
99	339
524	337
447	356
336	367
347	391
291	337
267	346
247	337
173	337
119	338
305	338
216	337
148	341
142	338
166	335
529	336
161	335
539	333
289	333
134	334
78	333
443	333
241	335
35	336
115	331
54	332
270	330
261	336
90	340
524	331
515	332
391	361
391	359
381	366
386	331
355	336
299	335
213	331
174	332
588	331
563	330
506	346
507	345
346	331
126	330
80	328
549	336
484	335
279	332
230	334
559	326
266	327
86	326
59	327
522	325
446	325
378	329
377	328
296	325
275	325
98	326
87	325
548	324
498	328
488	325
409	329
365	325
335	323
211	323
102	323
640	323
345	324
323	332
306	322
250	322
25	323
551	321
563	322
531	323
464	328
430	327
283	323
192	337
57	321
381	320
517	318
371	320
266	318
32	319
403	319
357	319
339	318
276	319
245	317
218	317
128	321
78	318
486	317
546	316
511	316
474	316
413	316
388	315
222	320
103	314
62	315
20	315
537	314
463	314
327	313
259	319
251	315
93	319
516	312
187	315
124	313
78	312
322	312
77	311
305	317
283	310
211	313
76	310
24	310
422	322
382	309
376	310
339	309
418	308
404	311
392	309
364	312
292	307
271	312
186	307
517	307
436	314
260	307
254	308
192	306
361	305
316	307
90	307
499	304
270	305
147	319
132	307
97	305
505	311
464	304
286	303
220	305
104	304
506	301
502	301
410	301
309	302
266	302
227	302
89	301
328	300
324	301
296	300
90	300
83	310
551	304
350	299
261	300
151	303
300	301
69	298
540	299
506	297
421	300
372	299
332	297
184	299
96	298
63	308
483	303
476	302
474	296
429	298
350	308
293	297
113	314
10	299
252	297
499	296
323	295
311	296
132	294
126	296
445	294
435	293
348	292
395	293
259	293
105	295
535	291
502	291
402	296
129	291
3	292
506	289
471	292
387	289
360	294
278	295
284	293
223	290
139	291
527	304
516	294
507	288
485	290
443	289
372	289
267	293
109	288
98	290
534	287
524	287
426	290
366	287
317	286
490	286
441	285
385	285
259	286
508	284
338	295
127	284
115	284
470	285
381	292
541	287
361	283
252	284
479	282
339	281
270	282
264	281
217	284
348	283
324	284
298	286
259	281
239	303
237	320
239	296
157	281
86	283
397	283
515	280
473	278
415	279
175	282
126	279
453	298
224	282
547	278
435	276
406	277
386	276
308	278
284	279
161	277
389	275
275	277
88	276
195	307
203	327
139	275
526	279
478	276
401	273
168	275
157	274
537	276
466	274
330	275
191	279
371	275
341	271
471	270
180	270
366	269
337	269
553	268
157	298
167	318
167	300
356	272
267	270
550	266
184	267
157	267
454	267
314	268
303	269
298	265
274	268
364	265
257	268
83	268
446	266
420	278
274	259
333	259
321	259
172	264
557	258
480	259
473	257
289	260
107	268
540	261
347	258
327	258
294	256
218	260
206	264
194	256
496	270
495	269
401	263
144	259
496	255
435	263
427	258
355	256
157	257
553	258
430	252
333	253
317	253
300	253
505	251
431	251
414	255
368	255
83	251
324	251
220	250
130	269
111	259
380	259
358	249
258	251
187	259
449	250
286	261
162	246
522	258
518	261
391	257
392	251
264	250
555	245
253	243
332	243
91	244
461	252
428	242
364	242
268	244
122	246
540	241
415	241
257	241
213	243
124	240
507	241
449	240
295	243
169	242
546	238
523	239
477	243
466	238
344	246
155	242
486	237
291	237
254	238
454	235
211	235
177	236
384	236
361	234
536	244
496	233
468	234
283	235
270	233
163	237
154	233
100	234
510	232
505	234
461	232
442	235
417	235
306	248
207	234
334	231
449	230
242	256
555	232
276	231
195	242
198	243
169	229
403	237
211	228
93	228
546	228
453	227
223	232
203	226
550	225
415	227
408	228
382	227
498	230
477	229
291	228
261	224
254	226
195	224
175	226
107	239
103	243
104	228
89	226
376	228
283	223
206	224
204	223
235	226
377	220
209	221
366	225
251	219
173	219
272	220
97	219
91	218
350	228
332	220
260	219
218	220
202	219
104	218
524	227
523	227
434	231
394	222
320	218
246	216
587	219
446	214
85	214
210	218
114	217
539	224
488	230
224	213
262	212
217	210
200	211
130	215
78	216
621	209
505	212
430	212
227	210
93	209
531	211
411	215
365	211
308	216
293	211
282	211
98	209
421	208
330	211
329	211
493	208
333	205
330	205
238	209
179	206
506	213
313	204
215	204
538	204
464	204
350	207
339	204
126	203
91	202
426	204
643	205
623	211
609	201
569	201
323	203
132	203
490	201
83	202
467	200
409	198
283	201
222	202
645	198
534	198
453	197
172	203
36	199
475	205
427	197
105	196
538	195
494	195
341	196
190	195
98	200
202	194
44	194
521	195
470	193
310	193
183	194
175	193
170	194
72	199
549	192
533	193
527	196
409	193
402	192
264	195
209	199
473	191
260	195
114	201
115	198
449	190
76	189
315	188
473	187
188	188
482	191
289	186
99	187
524	186
516	196
513	196
501	187
211	186
182	186
444	204
424	190
423	189
394	184
302	195
192	205
185	220
190	208
173	186
148	217
144	227
156	214
108	187
21	187
461	192
419	183
524	182
451	182
318	183
277	187
462	181
297	182
284	187
145	186
324	181
504	180
426	180
417	179
291	180
99	180
531	184
368	178
45	180
410	180
344	183
145	179
545	179
525	176
333	188
333	187
209	179
129	185
95	177
56	193
115	179
379	174
203	177
403	173
71	177
540	172
270	172
432	173
142	171
560	185
558	192
441	174
152	176
87	176
31	182
109	169
551	170
476	174
417	172
379	168
101	169
229	167
620	166
533	167
420	166
161	172
148	166
453	165
427	167
345	165
194	173
410	164
203	165
107	164
540	163
162	163
545	161
338	163
290	161
155	165
132	165
620	160
516	170
380	160
371	163
165	160
243	159
234	158
170	158
121	166
435	160
391	170
522	156
139	157
531	155
462	157
474	162
344	155
286	155
233	154
221	154
134	154
54	165
563	154
300	154
117	154
86	154
617	155
571	162
569	165
495	155
451	157
375	185
365	191
291	153
311	165
311	169
241	179
246	185
239	188
232	176
249	172
259	160
117	151
547	154
120	150
96	163
80	171
492	149
347	149
115	149
273	150
236	149
229	149
136	149
622	148
594	149
426	147
101	147
290	147
348	146
335	149
298	146
613	147
560	146
510	151
445	147
385	148
376	144
316	151
307	147
245	146
128	150
238	143
515	143
282	150
277	142
235	141
188	142
540	144
261	141
428	141
346	140
286	139
273	139
499	138
443	139
398	147
220	139
134	138
116	138
540	138
398	137
304	137
277	137
211	150
461	143
452	139
409	139
253	140
235	136
149	149
151	149
121	139
38	139
406	134
349	136
194	135
178	158
181	161
170	147
506	136
492	138
419	148
211	134
547	137
514	132
416	133
411	133
353	132
22	136
625	132
477	131
459	131
422	131
423	130
189	131
438	132
375	132
262	130
252	131
224	132
190	129
574	128
566	142
483	159
452	130
445	128
287	131
288	131
281	129
21	128
429	129
363	142
625	125
182	125
546	124
323	136
651	125
148	128
318	123
271	122
91	122
38	124
507	123
298	128
186	124
131	127
621	121
499	125
384	125
347	124
233	127
146	121
627	120
137	120
547	119
489	118
362	121
413	118
520	117
132	116
100	116
95	116
123	115
612	115
505	114
201	123
151	115
516	115
492	114
459	113
350	115
310	113
235	116
140	113
602	115
570	119
500	115
431	117
372	116
334	116
275	119
213	118
162	115
157	114
523	113
435	111
362	112
355	111
322	116
468	119
302	110
262	114
609	110
558	116
458	109
298	111
152	108
485	108
447	107
142	107
645	106
633	112
636	110
297	106
179	107
558	105
444	112
419	111
346	107
302	105
280	108
261	106
206	107
584	115
584	117
550	107
467	104
461	105
408	104
290	111
223	115
136	104
126	105
620	107
422	103
265	103
249	113
194	110
167	119
307	105
118	104
476	104
399	116
289	101
123	101
450	101
346	101
253	101
107	125
378	99
247	99
97	105
485	100
443	99
417	99
332	98
326	99
157	103
552	100
293	97
282	100
509	104
459	99
299	99
230	101
225	100
210	97
190	97
162	98
224	95
113	96
596	101
544	93
531	119
538	110
488	93
477	94
161	93
457	93
297	92
159	92
97	92
630	96
347	91
275	91
84	123
80	142
81	114
237	90
116	90
36	91
601	89
515	92
503	91
461	89
362	89
231	91
211	91
194	91
139	92
610	91
556	91
549	95
332	93
251	89
185	91
55	88
614	97
576	99
619	86
446	90
418	90
203	88
154	89
428	95
297	85
193	85
182	86
379	95
366	98
387	91
90	89
434	83
483	84
458	84
451	84
157	83
608	84
597	84
496	81
365	81
333	83
302	83
267	90
221	85
177	97
148	84
507	83
493	86
443	81
439	83
340	80
281	81
468	82
308	83
246	82
57	83
383	78
372	80
196	80
147	78
324	78
251	77
228	78
211	81
121	78
620	77
587	78
501	78
494	77
329	77
169	76
469	76
430	78
243	76
206	74
200	74
185	78
460	74
360	73
288	76
153	74
563	79
506	73
214	72
452	73
162	75
217	70
194	70
191	70
614	69
303	75
226	70
30	69
442	73
235	69
585	67
418	74
372	68
311	68
243	67
195	67
187	68
177	72
576	76
431	67
393	73
398	75
385	67
190	66
115	67
406	75
327	69
301	65
273	70
272	68
151	65
33	65
448	66
414	64
286	65
41	65
451	63
424	64
241	62
179	62
506	63
414	61
395	62
251	66
221	63
185	62
341	60
324	60
302	61
235	61
194	61
502	60
460	60
112	59
454	58
434	58
332	59
205	64
465	59
427	58
266	58
256	60
599	68
279	59
173	56
91	76
209	55
49	57
605	54
587	54
376	54
601	54
496	53
332	54
88	53
37	57
565	53
568	60
553	52
356	52
323	53
300	54
163	61
162	66
130	76
138	72
291	57
224	53
446	50
250	51
215	55
519	55
507	53
444	49
422	51
366	51
308	50
262	50
53	51
592	52
402	53
407	47
347	63
271	50
229	47
205	48
479	60
480	63
474	53
313	55
358	45
131	48
118	46
112	45
82	45
411	43
223	43
147	49
98	53
371	42
276	43
264	43
256	43
406	42
333	41
316	43
219	41
329	45
196	45
88	43
83	40
383	45
233	41
91	39
62	51
368	39
299	42
257	38
153	44
308	40
413	36
203	38
404	37
250	38
141	37
138	35
347	34
289	34
235	35
226	36
212	40
588	34
534	47
377	33
339	37
241	34
189	33
60	34
575	39
387	33
351	39
283	38
268	33
448	42
449	39
431	37
431	35
371	32
330	34
123	37
180	30
541	60
523	78
527	75
408	29
390	28
340	29
303	32
285	29
59	28
561	27
251	28
435	26
573	25
395	25
314	31
300	25
292	27
236	25
565	24
427	25
343	24
168	39
163	35
577	22
562	22
553	22
321	23
273	23
225	22
353	25
62	21
364	21
339	21
415	26
311	20
349	21
231	20
273	17
80	28
83	29
80	17
566	17
401	23
178	17
74	18
426	15
241	20
290	17
201	10
424	10
285	9
206	10
594	11
542	8
429	9
